image_path,prompt,prediction
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG017.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG133.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG046.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG377.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG170.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG205.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG265.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG174.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG500.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG387.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG155.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG007.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG134.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG509.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG404.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG063.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG408.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG186.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG223.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG216.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG051.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG430.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG165.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG266.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG176.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG289.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG333.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG313.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG329.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG213.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG490.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG409.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG250.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG187.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG107.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG480.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG356.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG225.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG399.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG302.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG397.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG237.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG168.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG235.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG403.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG109.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG301.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG137.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG179.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG043.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG493.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG052.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG090.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG160.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG411.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG294.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG084.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG275.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG506.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG475.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG088.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG393.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG314.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG281.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG023.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG257.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG371.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG148.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG175.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG070.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG391.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG285.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG288.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG127.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG053.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG215.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG138.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG451.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG335.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG065.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG315.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG048.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG256.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG414.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG308.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG050.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG177.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG380.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG099.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG027.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG212.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG312.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG424.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG440.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG344.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG097.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG482.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG276.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG206.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG037.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG337.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG358.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG465.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG283.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG449.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG369.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG345.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG214.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG163.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG098.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG481.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG460.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG073.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG350.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG307.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG218.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG429.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG422.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG008.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG331.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG384.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG347.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG464.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG443.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG420.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG418.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG259.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG249.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG318.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG431.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG067.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG062.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG056.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG110.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG327.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG264.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG055.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG018.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG154.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG374.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG457.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG145.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG224.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG079.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG467.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG080.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG304.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG290.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG021.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG064.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG117.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG279.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG494.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG353.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG036.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG197.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG059.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG383.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG461.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG445.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG476.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG182.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG173.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG251.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG006.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG263.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG436.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG071.tif,What is the BIRADS score for this mammograpy image,
/home/ab575577/projects_fall_2025/mammochat/datasets/DMID/archive/TIFF Images/TIFF Images/IMG028.tif,What is the BIRADS score for this mammograpy image,? BIRADS 2
